Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.81     0.00    49456     0.00     0.00  std::reference_wrapper<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::_S_fun(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.81     0.00    49435     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.81     0.00    49366     0.00     0.00  HTTPBuilder::http_resp_add_content_type(std::basic_string_view<char, std::char_traits<char> >)
  0.00      0.81     0.00    49358     0.00     0.00  HTTPBuilder::build[abi:cxx11]()
  0.00      0.81     0.00    49278     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned long>(unsigned long, int)
  0.00      0.81     0.00    49083     0.00     0.00  std::__cxx11::to_string(unsigned long)
  0.00      0.81     0.00    49054     0.00     0.00  HTTPBuilder::http_resp_add_content_length(unsigned long)
  0.00      0.81     0.00    49019     0.00     0.00  TLS init function for http_server
  0.00      0.81     0.00    48793     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.81     0.00    48716     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      0.81     0.00    48676     0.00     0.00  std::vector<http_uri_handler, std::allocator<http_uri_handler> >::end()
  0.00      0.81     0.00    48600     0.00     0.00  auto HTTPServer::find_handler(std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >)::{lambda(auto:1 const&)#1}::operator()<http_uri_handler>(http_uri_handler const&) const
  0.00      0.81     0.00    48530     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<HTTPServer::find_handler(std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >)::{lambda(auto:1 const&)#1}>::operator()<__gnu_cxx::__normal_iterator<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > > >(__gnu_cxx::__normal_iterator<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > >)
  0.00      0.81     0.00    48475     0.00     0.00  std::array<std::basic_string_view<char, std::char_traits<char> >, 9ul>::end() const
  0.00      0.81     0.00    47674     0.00     0.00  std::unique_lock<std::mutex>::~unique_lock()
  0.00      0.81     0.00    46991     0.00     0.00  std::mutex* std::__addressof<std::mutex>(std::mutex&)
  0.00      0.81     0.00    46781     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
  0.00      0.81     0.00    32661     0.00     0.00  HTTPServer::send_response_header(req_context*)
  0.00      0.81     0.00    25412     0.00     0.00  Socket::set_non_blocking(int)
  0.00      0.81     0.00    25385     0.00     0.00  EventPoll::register_fd_ctx(req_context*, unsigned int)
  0.00      0.81     0.00    25272     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::push(std::function<void ()> const&)
  0.00      0.81     0.00    25271     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::push_back(std::function<void ()> const&)
  0.00      0.81     0.00    25258     0.00     0.00  std::function<void ()>::function<EventPoll::handle_client_data(req_context*)::{lambda()#1}, void>(EventPoll::handle_client_data(req_context*)::{lambda()#1}&&)
  0.00      0.81     0.00    25255     0.00     0.00  ThreadPool::QueueJob(std::function<void ()> const&)
  0.00      0.81     0.00    25251     0.00     0.00  std::function<void (req_context*)>::operator bool() const
  0.00      0.81     0.00    25152     0.00     0.00  EventPoll::mod_fd_write_ctx(req_context*)
  0.00      0.81     0.00    25074     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const& std::forward<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&>(std::remove_reference<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&>::type&)
  0.00      0.81     0.00    25067     0.00     0.00  HTTPServer::build_success_response[abi:cxx11](int, std::basic_string_view<char, std::char_traits<char> >, unsigned long)
  0.00      0.81     0.00    25041     0.00     0.00  HTTPBuilder::http_get_content_type(std::basic_string_view<char, std::char_traits<char> >)
  0.00      0.81     0.00    25033     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find_last_of(char, unsigned long) const
  0.00      0.81     0.00    25029     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::rfind(char, unsigned long) const
  0.00      0.81     0.00    25016     0.00     0.00  std::__detail::_Hash_code_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Select1st, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_hash_code(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      0.81     0.00    25014     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::__pair_get<0ul>::__const_get<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.81     0.00    25012     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_ptr()
